"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Omicron BQ.1",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-02,NA,NA,0.011352,"Feb 02, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-02,NA,NA,NA,"Feb 02, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-03,NA,NA,0.022703,"Feb 03, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-03,NA,NA,NA,"Feb 03, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-04,NA,NA,0.022703,"Feb 04, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-04,NA,NA,NA,"Feb 04, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-05,NA,NA,0.022703,"Feb 05, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-05,NA,NA,NA,"Feb 05, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-06,0,0,0.011352,"Feb 06, 2021<br><b>Alpha, Beta & Gamma</b> 0%"
"Delta",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-02-06,NA,NA,NA,"Feb 06, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-02-07,NA,NA,0,"Feb 07, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-07,NA,NA,NA,"Feb 07, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-08,NA,NA,0,"Feb 08, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-08,NA,NA,NA,"Feb 08, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-09,NA,NA,0,"Feb 09, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-09,NA,NA,NA,"Feb 09, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-10,NA,NA,0,"Feb 10, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-10,NA,NA,NA,"Feb 10, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-11,0.046464,0.046464,0.023232,"Feb 11, 2021<br><b>Alpha, Beta & Gamma</b> 4.65%"
"Delta",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-02-11,NA,NA,NA,"Feb 11, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-02-12,0,0,0.015488,"Feb 12, 2021<br><b>Alpha, Beta & Gamma</b> 0%"
"Delta",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-02-12,NA,NA,NA,"Feb 12, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-02-13,NA,NA,0.023232,"Feb 13, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-13,NA,NA,NA,"Feb 13, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-14,NA,NA,0.023232,"Feb 14, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-14,NA,NA,NA,"Feb 14, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-15,NA,NA,0.023232,"Feb 15, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-15,NA,NA,NA,"Feb 15, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-16,NA,NA,0.023232,"Feb 16, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-16,NA,NA,NA,"Feb 16, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-17,NA,NA,0.023232,"Feb 17, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-17,NA,NA,NA,"Feb 17, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-18,0.124921,0.124921,0.062461,"Feb 18, 2021<br><b>Alpha, Beta & Gamma</b> 12.49%"
"Delta",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-02-18,NA,NA,NA,"Feb 18, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-02-19,NA,NA,0.124921,"Feb 19, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-19,NA,NA,NA,"Feb 19, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-20,NA,NA,0.124921,"Feb 20, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-02-20,NA,NA,NA,"Feb 20, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-02-21,NA,NA,0.124921,"Feb 21, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-21,NA,NA,NA,"Feb 21, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
